protein	number_letter	length	group	letter
None_protein606120	13	58	Hs_igen	H
None_protein606120	20	58	Hs_igen	L
ENSP00000349884	3	116	Hs_ps13-17	E
ENSP00000349884	37	116	Hs_ps13-17	H
ENSP00000349884	76	116	Hs_ps13-17	L
ENSP00000343242	11	236	Hs_ps13-17	E
ENSP00000343242	93	236	Hs_ps13-17	H
ENSP00000343242	132	236	Hs_ps13-17	L
ENSP00000330720	0	163	Hs_ps13-17	E
ENSP00000330720	0	163	Hs_ps13-17	H
ENSP00000330720	163	163	Hs_ps13-17	L
ENSP00000365523	63	309	Hs_ps1-2	E
ENSP00000365523	24	309	Hs_ps1-2	H
ENSP00000365523	222	309	Hs_ps1-2	L
ENSP00000343819	11	297	Hs_ps1-2	E
ENSP00000343819	32	297	Hs_ps1-2	H
ENSP00000343819	254	297	Hs_ps1-2	L
None_protein950866	4	127	Hs_igen	E
None_protein950866	39	127	Hs_igen	H
None_protein950866	84	127	Hs_igen	L
Hs_rnd_gnm4_855871	4	40	Hs_rand	E
Hs_rnd_gnm4_855871	17	40	Hs_rand	H
Hs_rnd_gnm4_855871	19	40	Hs_rand	L
Hs_rnd_gnm5_726997	41	108	Hs_rand	E
Hs_rnd_gnm5_726997	15	108	Hs_rand	H
Hs_rnd_gnm5_726997	52	108	Hs_rand	L
Hs_rnd_gnm2_273447	8	77	Hs_rand	E
Hs_rnd_gnm2_273447	49	77	Hs_rand	H
Hs_rnd_gnm2_273447	20	77	Hs_rand	L
ENSP00000296280	223	728	Hs_ps1-2	E
ENSP00000296280	17	728	Hs_ps1-2	H
ENSP00000296280	488	728	Hs_ps1-2	L
ENSP00000075503	46	422	Hs_ps1-2	E
ENSP00000075503	144	422	Hs_ps1-2	H
ENSP00000075503	232	422	Hs_ps1-2	L
ENSP00000445381	226	1486	Hs_ps1-2	E
ENSP00000445381	475	1486	Hs_ps1-2	H
ENSP00000445381	785	1486	Hs_ps1-2	L
Hs_rnd_gnm3_786229	19	42	Hs_rand	E
Hs_rnd_gnm3_786229	0	42	Hs_rand	H
Hs_rnd_gnm3_786229	23	42	Hs_rand	L
ENSP00000366950	0	174	Hs_ps20-21	E
ENSP00000366950	0	174	Hs_ps20-21	H
ENSP00000366950	174	174	Hs_ps20-21	L
ENSP00000481773	0	297	Hs_ps13-17	E
ENSP00000481773	0	297	Hs_ps13-17	H
ENSP00000481773	297	297	Hs_ps13-17	L
Hs_rnd_gnm1_741276	17	47	Hs_rand	E
Hs_rnd_gnm1_741276	0	47	Hs_rand	H
Hs_rnd_gnm1_741276	30	47	Hs_rand	L
Hs_rnd_gnm1_792668	0	57	Hs_rand	E
Hs_rnd_gnm1_792668	38	57	Hs_rand	H
Hs_rnd_gnm1_792668	19	57	Hs_rand	L
None_protein1224661	5	47	Hs_igen	E
None_protein1224661	6	47	Hs_igen	H
None_protein1224661	36	47	Hs_igen	L
ENSP00000403804	0	192	Hs_ps20-21	E
ENSP00000403804	0	192	Hs_ps20-21	H
ENSP00000403804	192	192	Hs_ps20-21	L
Hs_rnd_gnm4_896303	17	63	Hs_rand	E
Hs_rnd_gnm4_896303	11	63	Hs_rand	H
Hs_rnd_gnm4_896303	35	63	Hs_rand	L
Hs_rnd_gnm2_785935	3	42	Hs_rand	E
Hs_rnd_gnm2_785935	21	42	Hs_rand	H
Hs_rnd_gnm2_785935	18	42	Hs_rand	L
Hs_rnd_gnm1_1284416	17	43	Hs_rand	E
Hs_rnd_gnm1_1284416	0	43	Hs_rand	H
Hs_rnd_gnm1_1284416	26	43	Hs_rand	L
vdp2013_S4_285	19	81	Hs_ps31	E
vdp2013_S4_285	6	81	Hs_ps31	H
vdp2013_S4_285	56	81	Hs_ps31	L
Hs_rnd_gnm2_337071	16	52	Hs_rand	E
Hs_rnd_gnm2_337071	19	52	Hs_rand	H
Hs_rnd_gnm2_337071	17	52	Hs_rand	L
None_protein552898	0	62	Hs_igen	E
None_protein552898	38	62	Hs_igen	H
None_protein552898	24	62	Hs_igen	L
Hs_rnd_gnm9_1007379	50	99	Hs_rand	E
Hs_rnd_gnm9_1007379	9	99	Hs_rand	H
Hs_rnd_gnm9_1007379	40	99	Hs_rand	L
Hs_rnd_gnm4_915267	8	41	Hs_rand	E
Hs_rnd_gnm4_915267	11	41	Hs_rand	H
Hs_rnd_gnm4_915267	22	41	Hs_rand	L
None_protein498097	0	58	Hs_igen	E
None_protein498097	17	58	Hs_igen	H
None_protein498097	41	58	Hs_igen	L
ENSP00000308258	43	487	Hs_ps1-2	E
ENSP00000308258	224	487	Hs_ps1-2	H
ENSP00000308258	220	487	Hs_ps1-2	L
Hs_rnd_gnm1_708056	35	116	Hs_rand	E
Hs_rnd_gnm1_708056	42	116	Hs_rand	H
Hs_rnd_gnm1_708056	39	116	Hs_rand	L
ENSP00000355273	39	529	Hs_ps1-2	E
ENSP00000355273	92	529	Hs_ps1-2	H
ENSP00000355273	398	529	Hs_ps1-2	L
None_protein407172	29	65	Hs_igen	E
None_protein407172	13	65	Hs_igen	H
None_protein407172	23	65	Hs_igen	L
None_protein824338	17	42	Hs_igen	E
None_protein824338	9	42	Hs_igen	H
None_protein824338	16	42	Hs_igen	L
ENSP00000361359	22	277	Hs_ps1-2	E
ENSP00000361359	9	277	Hs_ps1-2	H
ENSP00000361359	246	277	Hs_ps1-2	L
Hs_JP201901_357	12	129	Hs_ps31	E
Hs_JP201901_357	45	129	Hs_ps31	H
Hs_JP201901_357	72	129	Hs_ps31	L
Hs_JP201901_355	10	40	Hs_ps20-21	E
Hs_JP201901_355	0	40	Hs_ps20-21	H
Hs_JP201901_355	30	40	Hs_ps20-21	L
Hs_JP201901_352	8	72	Hs_ps31	E
Hs_JP201901_352	32	72	Hs_ps31	H
Hs_JP201901_352	32	72	Hs_ps31	L
ENSP00000477443	43	238	Hs_ps1-2	E
ENSP00000477443	10	238	Hs_ps1-2	H
ENSP00000477443	185	238	Hs_ps1-2	L
ENSP00000322450	75	464	Hs_ps1-2	E
ENSP00000322450	162	464	Hs_ps1-2	H
ENSP00000322450	227	464	Hs_ps1-2	L
None_protein542065	5	70	Hs_igen	E
None_protein542065	31	70	Hs_igen	H
None_protein542065	34	70	Hs_igen	L
None_protein591145	5	41	Hs_igen	E
None_protein591145	14	41	Hs_igen	H
None_protein591145	22	41	Hs_igen	L
ENSP00000322108	104	1444	Hs_ps1-2	E
ENSP00000322108	303	1444	Hs_ps1-2	H
ENSP00000322108	1037	1444	Hs_ps1-2	L
Raj_Hs_2122	2	73	Hs_ps31	E
Raj_Hs_2122	0	73	Hs_ps31	H
Raj_Hs_2122	71	73	Hs_ps31	L
Hs_rnd_gnm6_447690	19	77	Hs_rand	E
Hs_rnd_gnm6_447690	25	77	Hs_rand	H
Hs_rnd_gnm6_447690	33	77	Hs_rand	L
ENSP00000476911	7	133	Hs_ps13-17	E
ENSP00000476911	86	133	Hs_ps13-17	H
ENSP00000476911	40	133	Hs_ps13-17	L
Hs_rnd_gnm5_497591	10	68	Hs_rand	E
Hs_rnd_gnm5_497591	36	68	Hs_rand	H
Hs_rnd_gnm5_497591	22	68	Hs_rand	L
ENSP00000326759	249	1119	Hs_ps1-2	E
ENSP00000326759	142	1119	Hs_ps1-2	H
ENSP00000326759	728	1119	Hs_ps1-2	L
ENSP00000298295	5	212	Hs_ps13-17	E
ENSP00000298295	14	212	Hs_ps13-17	H
ENSP00000298295	193	212	Hs_ps13-17	L
ENSP00000238146	68	600	Hs_ps1-2	E
ENSP00000238146	266	600	Hs_ps1-2	H
ENSP00000238146	266	600	Hs_ps1-2	L
Hs_JP201901_497	7	53	Hs_ps31	E
Hs_JP201901_497	12	53	Hs_ps31	H
Hs_JP201901_497	34	53	Hs_ps31	L
Hs_rnd_gnm2_603680	9	49	Hs_rand	E
Hs_rnd_gnm2_603680	14	49	Hs_rand	H
Hs_rnd_gnm2_603680	26	49	Hs_rand	L
Hs_JP201901_490	11	42	Hs_ps31	E
Hs_JP201901_490	13	42	Hs_ps31	H
Hs_JP201901_490	18	42	Hs_ps31	L
ENSP00000480427	16	202	Hs_ps13-17	E
ENSP00000480427	32	202	Hs_ps13-17	H
ENSP00000480427	154	202	Hs_ps13-17	L
ENSP00000295131	46	633	Hs_ps1-2	E
ENSP00000295131	95	633	Hs_ps1-2	H
ENSP00000295131	492	633	Hs_ps1-2	L
Hs_rnd_gnm3_1049661	24	73	Hs_rand	E
Hs_rnd_gnm3_1049661	5	73	Hs_rand	H
Hs_rnd_gnm3_1049661	44	73	Hs_rand	L
Hs_rnd_gnm6_296465	14	87	Hs_rand	E
Hs_rnd_gnm6_296465	43	87	Hs_rand	H
Hs_rnd_gnm6_296465	30	87	Hs_rand	L
ENSP00000329794	0	100	Hs_ps20-21	E
ENSP00000329794	38	100	Hs_ps20-21	H
ENSP00000329794	62	100	Hs_ps20-21	L
Hs_rnd_gnm3_348729	38	86	Hs_rand	E
Hs_rnd_gnm3_348729	0	86	Hs_rand	H
Hs_rnd_gnm3_348729	48	86	Hs_rand	L
None_protein519597	0	41	Hs_igen	E
None_protein519597	30	41	Hs_igen	H
None_protein519597	11	41	Hs_igen	L
ENSP00000363852	35	657	Hs_ps1-2	E
ENSP00000363852	384	657	Hs_ps1-2	H
ENSP00000363852	238	657	Hs_ps1-2	L
ENSP00000369293	62	272	Hs_ps13-17	E
ENSP00000369293	3	272	Hs_ps13-17	H
ENSP00000369293	207	272	Hs_ps13-17	L
None_protein323971	20	53	Hs_igen	E
None_protein323971	13	53	Hs_igen	H
None_protein323971	20	53	Hs_igen	L
ENSP00000369299	97	498	Hs_ps1-2	E
ENSP00000369299	158	498	Hs_ps1-2	H
ENSP00000369299	243	498	Hs_ps1-2	L
None_protein820603	18	109	Hs_igen	E
None_protein820603	25	109	Hs_igen	H
None_protein820603	66	109	Hs_igen	L
None_protein1255791	31	48	Hs_igen	E
None_protein1255791	0	48	Hs_igen	H
None_protein1255791	17	48	Hs_igen	L
vdp2013_S4_1073	25	43	Hs_ps31	E
vdp2013_S4_1073	0	43	Hs_ps31	H
vdp2013_S4_1073	18	43	Hs_ps31	L
Hs_rnd_gnm6_175242	19	105	Hs_rand	E
Hs_rnd_gnm6_175242	39	105	Hs_rand	H
Hs_rnd_gnm6_175242	47	105	Hs_rand	L
ENSP00000309782	27	343	Hs_ps13-17	E
ENSP00000309782	196	343	Hs_ps13-17	H
ENSP00000309782	120	343	Hs_ps13-17	L
Hs_rnd_gnm6_1076956	23	114	Hs_rand	E
Hs_rnd_gnm6_1076956	25	114	Hs_rand	H
Hs_rnd_gnm6_1076956	66	114	Hs_rand	L
None_protein480140	31	87	Hs_igen	E
None_protein480140	8	87	Hs_igen	H
None_protein480140	48	87	Hs_igen	L
None_protein126042	12	53	Hs_igen	E
None_protein126042	0	53	Hs_igen	H
None_protein126042	41	53	Hs_igen	L
Raj_Hs_1346	0	56	Hs_ps31	E
Raj_Hs_1346	16	56	Hs_ps31	H
Raj_Hs_1346	40	56	Hs_ps31	L
None_protein1025502	0	41	Hs_igen	E
None_protein1025502	33	41	Hs_igen	H
None_protein1025502	8	41	Hs_igen	L
ENSP00000361726	3	79	Hs_ps20-21	E
ENSP00000361726	35	79	Hs_ps20-21	H
ENSP00000361726	41	79	Hs_ps20-21	L
Raj_Hs_1349	16	106	Hs_ps31	E
Raj_Hs_1349	18	106	Hs_ps31	H
Raj_Hs_1349	72	106	Hs_ps31	L
ENSP00000305631	31	212	Hs_ps1-2	E
ENSP00000305631	75	212	Hs_ps1-2	H
ENSP00000305631	106	212	Hs_ps1-2	L
vdp2013_S4_358	15	133	Hs_ps31	E
vdp2013_S4_358	49	133	Hs_ps31	H
vdp2013_S4_358	69	133	Hs_ps31	L
None_protein1112643	9	52	Hs_igen	E
None_protein1112643	0	52	Hs_igen	H
None_protein1112643	43	52	Hs_igen	L
None_protein342698	10	78	Hs_igen	E
None_protein342698	0	78	Hs_igen	H
None_protein342698	68	78	Hs_igen	L
None_protein1169116	32	183	Hs_igen	E
None_protein1169116	43	183	Hs_igen	H
None_protein1169116	108	183	Hs_igen	L
Hs_rnd_gnm8_396034	4	41	Hs_rand	E
Hs_rnd_gnm8_396034	11	41	Hs_rand	H
Hs_rnd_gnm8_396034	26	41	Hs_rand	L
None_protein1125744	11	111	Hs_igen	E
None_protein1125744	23	111	Hs_igen	H
None_protein1125744	77	111	Hs_igen	L
Hs_rnd_gnm7_1140049	26	113	Hs_rand	E
Hs_rnd_gnm7_1140049	34	113	Hs_rand	H
Hs_rnd_gnm7_1140049	53	113	Hs_rand	L
ENSP00000351596	0	1564	Hs_ps1-2	E
ENSP00000351596	1280	1564	Hs_ps1-2	H
ENSP00000351596	284	1564	Hs_ps1-2	L
vdp2013_S4_351	5	40	Hs_ps31	E
vdp2013_S4_351	18	40	Hs_ps31	H
vdp2013_S4_351	17	40	Hs_ps31	L
Raj_Hs_1697	0	58	Hs_ps31	E
Raj_Hs_1697	0	58	Hs_ps31	H
Raj_Hs_1697	58	58	Hs_ps31	L
None_protein830251	16	78	Hs_igen	E
None_protein830251	29	78	Hs_igen	H
None_protein830251	33	78	Hs_igen	L
Hs_rnd_gnm7_53757	4	43	Hs_rand	E
Hs_rnd_gnm7_53757	34	43	Hs_rand	H
Hs_rnd_gnm7_53757	5	43	Hs_rand	L
Raj_Hs_1693	0	55	Hs_ps31	E
Raj_Hs_1693	0	55	Hs_ps31	H
Raj_Hs_1693	55	55	Hs_ps31	L
ENSP00000380762	56	123	Hs_ps1-2	E
ENSP00000380762	18	123	Hs_ps1-2	H
ENSP00000380762	49	123	Hs_ps1-2	L
Raj_Hs_1699	23	61	Hs_ps31	E
Raj_Hs_1699	19	61	Hs_ps31	H
Raj_Hs_1699	19	61	Hs_ps31	L
vdp2013_S4_353	9	47	Hs_ps31	E
vdp2013_S4_353	23	47	Hs_ps31	H
vdp2013_S4_353	15	47	Hs_ps31	L
Raj_Hs_260	11	60	Hs_ps31	E
Raj_Hs_260	22	60	Hs_ps31	H
Raj_Hs_260	27	60	Hs_ps31	L
ENSP00000299472	24	109	Hs_ps1-2	E
ENSP00000299472	24	109	Hs_ps1-2	H
ENSP00000299472	61	109	Hs_ps1-2	L
Hs_rnd_gnm8_344791	12	73	Hs_rand	E
Hs_rnd_gnm8_344791	13	73	Hs_rand	H
Hs_rnd_gnm8_344791	48	73	Hs_rand	L
vdp2013_S4_352	6	51	Hs_ps31	E
vdp2013_S4_352	32	51	Hs_ps31	H
vdp2013_S4_352	13	51	Hs_ps31	L
vdp2013_S4_355	0	48	Hs_ps31	E
vdp2013_S4_355	24	48	Hs_ps31	H
vdp2013_S4_355	24	48	Hs_ps31	L
None_protein348933	7	66	Hs_igen	E
None_protein348933	36	66	Hs_igen	H
None_protein348933	23	66	Hs_igen	L
None_protein89098	5	68	Hs_igen	E
None_protein89098	12	68	Hs_igen	H
None_protein89098	51	68	Hs_igen	L
Hs_rnd_gnm2_352145	10	42	Hs_rand	E
Hs_rnd_gnm2_352145	15	42	Hs_rand	H
Hs_rnd_gnm2_352145	17	42	Hs_rand	L
ENSP00000253107	72	473	Hs_ps1-2	E
ENSP00000253107	235	473	Hs_ps1-2	H
ENSP00000253107	166	473	Hs_ps1-2	L
None_protein765681	15	52	Hs_igen	E
None_protein765681	0	52	Hs_igen	H
None_protein765681	37	52	Hs_igen	L
ENSP00000384823	307	927	Hs_ps1-2	E
ENSP00000384823	48	927	Hs_ps1-2	H
ENSP00000384823	572	927	Hs_ps1-2	L
ENSP00000384827	77	317	Hs_ps1-2	E
ENSP00000384827	51	317	Hs_ps1-2	H
ENSP00000384827	189	317	Hs_ps1-2	L
Hs_rnd_gnm6_780540	28	65	Hs_rand	E
Hs_rnd_gnm6_780540	8	65	Hs_rand	H
Hs_rnd_gnm6_780540	29	65	Hs_rand	L
ENSP00000359688	72	349	Hs_ps1-2	E
ENSP00000359688	104	349	Hs_ps1-2	H
ENSP00000359688	173	349	Hs_ps1-2	L
None_protein12489	8	41	Hs_igen	E
None_protein12489	9	41	Hs_igen	H
None_protein12489	24	41	Hs_igen	L
ENSP00000418983	0	652	Hs_ps13-17	E
ENSP00000418983	17	652	Hs_ps13-17	H
ENSP00000418983	635	652	Hs_ps13-17	L
Hs_rnd_gnm4_767090	3	51	Hs_rand	E
Hs_rnd_gnm4_767090	24	51	Hs_rand	H
Hs_rnd_gnm4_767090	24	51	Hs_rand	L
ENSP00000454224	156	1149	Hs_ps1-2	E
ENSP00000454224	150	1149	Hs_ps1-2	H
ENSP00000454224	843	1149	Hs_ps1-2	L
None_protein874992	4	57	Hs_igen	E
None_protein874992	22	57	Hs_igen	H
None_protein874992	31	57	Hs_igen	L
ENSP00000282120	46	479	Hs_ps1-2	E
ENSP00000282120	24	479	Hs_ps1-2	H
ENSP00000282120	409	479	Hs_ps1-2	L
ENSP00000310803	0	215	Hs_ps20-21	E
ENSP00000310803	143	215	Hs_ps20-21	H
ENSP00000310803	72	215	Hs_ps20-21	L
None_protein562905	7	53	Hs_igen	E
None_protein562905	5	53	Hs_igen	H
None_protein562905	41	53	Hs_igen	L
vdp2013_S4_931	0	181	Hs_ps31	E
vdp2013_S4_931	3	181	Hs_ps31	H
vdp2013_S4_931	178	181	Hs_ps31	L
vdp2013_S4_930	3	51	Hs_ps31	E
vdp2013_S4_930	38	51	Hs_ps31	H
vdp2013_S4_930	10	51	Hs_ps31	L
vdp2013_S4_933	10	95	Hs_ps31	E
vdp2013_S4_933	63	95	Hs_ps31	H
vdp2013_S4_933	22	95	Hs_ps31	L
vdp2013_S4_932	10	92	Hs_ps31	E
vdp2013_S4_932	42	92	Hs_ps31	H
vdp2013_S4_932	40	92	Hs_ps31	L
vdp2013_S4_935	20	42	Hs_ps31	E
vdp2013_S4_935	0	42	Hs_ps31	H
vdp2013_S4_935	22	42	Hs_ps31	L
vdp2013_S4_934	3	44	Hs_ps31	E
vdp2013_S4_934	15	44	Hs_ps31	H
vdp2013_S4_934	26	44	Hs_ps31	L
vdp2013_S4_937	8	43	Hs_ps31	E
vdp2013_S4_937	19	43	Hs_ps31	H
vdp2013_S4_937	16	43	Hs_ps31	L
vdp2013_S4_936	4	46	Hs_ps31	E
vdp2013_S4_936	19	46	Hs_ps31	H
vdp2013_S4_936	23	46	Hs_ps31	L
vdp2013_S4_939	18	51	Hs_ps20-21	E
vdp2013_S4_939	25	51	Hs_ps20-21	H
vdp2013_S4_939	8	51	Hs_ps20-21	L
ENSP00000216410	42	184	Hs_ps1-2	E
ENSP00000216410	60	184	Hs_ps1-2	H
ENSP00000216410	82	184	Hs_ps1-2	L
ENSP00000250101	35	123	Hs_ps1-2	E
ENSP00000250101	35	123	Hs_ps1-2	H
ENSP00000250101	53	123	Hs_ps1-2	L
ENSP00000346550	7	673	Hs_ps1-2	E
ENSP00000346550	472	673	Hs_ps1-2	H
ENSP00000346550	194	673	Hs_ps1-2	L
None_protein802229	13	105	Hs_igen	E
None_protein802229	38	105	Hs_igen	H
None_protein802229	54	105	Hs_igen	L
Hs_rnd_gnm2_359147	43	94	Hs_rand	E
Hs_rnd_gnm2_359147	8	94	Hs_rand	H
Hs_rnd_gnm2_359147	43	94	Hs_rand	L
ENSP00000402239	0	297	Hs_ps13-17	E
ENSP00000402239	256	297	Hs_ps13-17	H
ENSP00000402239	41	297	Hs_ps13-17	L
Hs_rnd_gnm5_63133	55	89	Hs_rand	E
Hs_rnd_gnm5_63133	6	89	Hs_rand	H
Hs_rnd_gnm5_63133	28	89	Hs_rand	L
None_protein1108173	3	41	Hs_igen	E
None_protein1108173	27	41	Hs_igen	H
None_protein1108173	11	41	Hs_igen	L
None_protein259076	0	48	Hs_igen	E
None_protein259076	22	48	Hs_igen	H
None_protein259076	26	48	Hs_igen	L
ENSP00000283225	42	314	Hs_ps1-2	E
ENSP00000283225	189	314	Hs_ps1-2	H
ENSP00000283225	83	314	Hs_ps1-2	L
None_protein447407	0	48	Hs_igen	E
None_protein447407	45	48	Hs_igen	H
None_protein447407	3	48	Hs_igen	L
Hs_rnd_gnm4_1249206	3	49	Hs_rand	E
Hs_rnd_gnm4_1249206	29	49	Hs_rand	H
Hs_rnd_gnm4_1249206	17	49	Hs_rand	L
None_protein800808	9	50	Hs_igen	E
None_protein800808	5	50	Hs_igen	H
None_protein800808	36	50	Hs_igen	L
ENSP00000283228	96	657	Hs_ps1-2	E
ENSP00000283228	137	657	Hs_ps1-2	H
ENSP00000283228	424	657	Hs_ps1-2	L
ENSP00000363291	58	427	Hs_ps1-2	E
ENSP00000363291	138	427	Hs_ps1-2	H
ENSP00000363291	231	427	Hs_ps1-2	L
None_protein298984	5	77	Hs_igen	E
None_protein298984	42	77	Hs_igen	H
None_protein298984	30	77	Hs_igen	L
Hs_rnd_gnm5_479964	41	105	Hs_rand	E
Hs_rnd_gnm5_479964	31	105	Hs_rand	H
Hs_rnd_gnm5_479964	33	105	Hs_rand	L
ENSP00000481216	0	185	Hs_ps31	E
ENSP00000481216	0	185	Hs_ps31	H
ENSP00000481216	185	185	Hs_ps31	L
Hs_rnd_gnm5_981198	8	42	Hs_rand	E
Hs_rnd_gnm5_981198	15	42	Hs_rand	H
Hs_rnd_gnm5_981198	19	42	Hs_rand	L
ENSP00000488305	0	99	Hs_ps13-17	E
ENSP00000488305	69	99	Hs_ps13-17	H
ENSP00000488305	30	99	Hs_ps13-17	L
ENSP00000459223	0	144	Hs_ps20-21	E
ENSP00000459223	0	144	Hs_ps20-21	H
ENSP00000459223	144	144	Hs_ps20-21	L
ENSP00000484687	6	155	Hs_ps1-2	E
ENSP00000484687	49	155	Hs_ps1-2	H
ENSP00000484687	100	155	Hs_ps1-2	L
ENSP00000315988	54	758	Hs_ps1-2	E
ENSP00000315988	431	758	Hs_ps1-2	H
ENSP00000315988	273	758	Hs_ps1-2	L
Hs_rnd_gnm10_204306	32	62	Hs_rand	E
Hs_rnd_gnm10_204306	0	62	Hs_rand	H
Hs_rnd_gnm10_204306	30	62	Hs_rand	L
None_protein472383	13	74	Hs_igen	E
None_protein472383	49	74	Hs_igen	H
None_protein472383	12	74	Hs_igen	L
ENSP00000338093	118	802	Hs_ps1-2	E
ENSP00000338093	328	802	Hs_ps1-2	H
ENSP00000338093	356	802	Hs_ps1-2	L
Hs_rnd_gnm3_806179	39	103	Hs_rand	E
Hs_rnd_gnm3_806179	15	103	Hs_rand	H
Hs_rnd_gnm3_806179	49	103	Hs_rand	L
Hs_rnd_gnm1_451418	33	48	Hs_rand	E
Hs_rnd_gnm1_451418	0	48	Hs_rand	H
Hs_rnd_gnm1_451418	15	48	Hs_rand	L
ENSP00000265148	69	2701	Hs_ps1-2	E
ENSP00000265148	2369	2701	Hs_ps1-2	H
ENSP00000265148	263	2701	Hs_ps1-2	L
ENSP00000480301	33	1114	Hs_ps1-2	E
ENSP00000480301	162	1114	Hs_ps1-2	H
ENSP00000480301	919	1114	Hs_ps1-2	L
ENSP00000264230	115	698	Hs_ps1-2	E
ENSP00000264230	215	698	Hs_ps1-2	H
ENSP00000264230	368	698	Hs_ps1-2	L
Hs_rnd_gnm5_1235004	24	86	Hs_rand	E
Hs_rnd_gnm5_1235004	16	86	Hs_rand	H
Hs_rnd_gnm5_1235004	46	86	Hs_rand	L
Hs_JP201901_298	4	144	Hs_ps20-21	E
Hs_JP201901_298	17	144	Hs_ps20-21	H
Hs_JP201901_298	123	144	Hs_ps20-21	L
Hs_JP201901_299	26	199	Hs_ps20-21	E
Hs_JP201901_299	11	199	Hs_ps20-21	H
Hs_JP201901_299	162	199	Hs_ps20-21	L
Hs_JP201901_297	19	87	Hs_ps31	E
Hs_JP201901_297	0	87	Hs_ps31	H
Hs_JP201901_297	68	87	Hs_ps31	L
Hs_JP201901_294	0	77	Hs_ps31	E
Hs_JP201901_294	22	77	Hs_ps31	H
Hs_JP201901_294	55	77	Hs_ps31	L
Hs_JP201901_295	21	114	Hs_ps31	E
Hs_JP201901_295	6	114	Hs_ps31	H
Hs_JP201901_295	87	114	Hs_ps31	L
Hs_JP201901_292	7	69	Hs_ps31	E
Hs_JP201901_292	19	69	Hs_ps31	H
Hs_JP201901_292	43	69	Hs_ps31	L
Hs_JP201901_293	8	94	Hs_ps31	E
Hs_JP201901_293	52	94	Hs_ps31	H
Hs_JP201901_293	34	94	Hs_ps31	L
None_protein1093082	15	42	Hs_igen	E
None_protein1093082	15	42	Hs_igen	H
None_protein1093082	12	42	Hs_igen	L
Hs_JP201901_291	6	56	Hs_ps20-21	E
Hs_JP201901_291	0	56	Hs_ps20-21	H
Hs_JP201901_291	50	56	Hs_ps20-21	L
None_protein26392	18	91	Hs_igen	E
None_protein26392	3	91	Hs_igen	H
None_protein26392	70	91	Hs_igen	L
Hs_rnd_gnm5_694691	16	45	Hs_rand	E
Hs_rnd_gnm5_694691	9	45	Hs_rand	H
Hs_rnd_gnm5_694691	20	45	Hs_rand	L
Hs_rnd_gnm4_1058229	10	97	Hs_rand	E
Hs_rnd_gnm4_1058229	37	97	Hs_rand	H
Hs_rnd_gnm4_1058229	50	97	Hs_rand	L
Hs_rnd_gnm3_186965	19	53	Hs_rand	E
Hs_rnd_gnm3_186965	5	53	Hs_rand	H
Hs_rnd_gnm3_186965	29	53	Hs_rand	L
Hs_rnd_gnm10_804571	20	51	Hs_rand	E
Hs_rnd_gnm10_804571	0	51	Hs_rand	H
Hs_rnd_gnm10_804571	31	51	Hs_rand	L
Hs_rnd_gnm10_183375	42	89	Hs_rand	E
Hs_rnd_gnm10_183375	10	89	Hs_rand	H
Hs_rnd_gnm10_183375	37	89	Hs_rand	L
None_protein976289	0	55	Hs_igen	E
None_protein976289	42	55	Hs_igen	H
None_protein976289	13	55	Hs_igen	L
ENSP00000223293	40	337	Hs_ps1-2	E
ENSP00000223293	180	337	Hs_ps1-2	H
ENSP00000223293	117	337	Hs_ps1-2	L
ENSP00000259229	10	180	Hs_ps1-2	E
ENSP00000259229	94	180	Hs_ps1-2	H
ENSP00000259229	76	180	Hs_ps1-2	L
ENSP00000352011	47	2377	Hs_ps1-2	E
ENSP00000352011	896	2377	Hs_ps1-2	H
ENSP00000352011	1434	2377	Hs_ps1-2	L
ENSP00000470004	12	145	Hs_ps1-2	E
ENSP00000470004	69	145	Hs_ps1-2	H
ENSP00000470004	64	145	Hs_ps1-2	L
Hs_rnd_gnm5_241468	13	41	Hs_rand	E
Hs_rnd_gnm5_241468	0	41	Hs_rand	H
Hs_rnd_gnm5_241468	28	41	Hs_rand	L
Hs_rnd_gnm9_543094	29	74	Hs_rand	E
Hs_rnd_gnm9_543094	14	74	Hs_rand	H
Hs_rnd_gnm9_543094	31	74	Hs_rand	L
ENSP00000252992	0	762	Hs_ps1-2	E
ENSP00000252992	558	762	Hs_ps1-2	H
ENSP00000252992	204	762	Hs_ps1-2	L
None_protein801073	22	63	Hs_igen	E
None_protein801073	16	63	Hs_igen	H
None_protein801073	25	63	Hs_igen	L
hsa_00187118_1	30	148	Hs_ps20-21	E
hsa_00187118_1	37	148	Hs_ps20-21	H
hsa_00187118_1	81	148	Hs_ps20-21	L
ENSP00000223127	150	738	Hs_ps1-2	E
ENSP00000223127	189	738	Hs_ps1-2	H
ENSP00000223127	399	738	Hs_ps1-2	L
ENSP00000312987	16	474	Hs_ps1-2	E
ENSP00000312987	156	474	Hs_ps1-2	H
ENSP00000312987	302	474	Hs_ps1-2	L
ENSP00000490393	0	593	Hs_ps1-2	E
ENSP00000490393	99	593	Hs_ps1-2	H
ENSP00000490393	494	593	Hs_ps1-2	L
Hs_rnd_gnm1_1127957	23	144	Hs_rand	E
Hs_rnd_gnm1_1127957	45	144	Hs_rand	H
Hs_rnd_gnm1_1127957	76	144	Hs_rand	L
None_protein227213	7	62	Hs_igen	E
None_protein227213	5	62	Hs_igen	H
