protein	age	num_domains	total_domain_length	protein_length
ENSP00000304822	Hs_ps20-21	1	160	182
ENSP00000373194	Hs_ps1-2	2	273	321
ENSP00000298838	Hs_ps1-2	4	127	424
vdp2013_S4_1174	Hs_ps31	0	0	72
ENSP00000310842	Hs_ps1-2	7	1223	1328
None_protein806681	Hs_igen	0	0	41
Hs_rnd_gnm3_1238330	Hs_rand	0	0	91
ENSP00000358045	Hs_ps13-17	2	540	567
None_protein253572	Hs_igen	0	0	44
ENSP00000230568	Hs_ps13-17	1	105	162
Hs_rnd_gnm7_794331	Hs_rand	0	0	60
ENSP00000305334	Hs_ps1-2	9	206	847
Hs_rnd_gnm6_1003840	Hs_rand	0	0	54
ENSP00000276414	Hs_ps13-17	1	9	92
ENSP00000243052	Hs_ps1-2	2	287	536
None_protein266597	Hs_igen	0	0	41
None_protein266591	Hs_igen	0	0	45
ENSP00000358596	Hs_ps1-2	3	253	384
ENSP00000358598	Hs_ps20-21	1	70	180
None_protein225030	Hs_igen	0	0	51
Hs_rnd_gnm2_1019337	Hs_rand	0	0	104
ENSP00000307853	Hs_ps1-2	1	137	551
ENSP00000429216	Hs_ps13-17	0	0	227
None_protein671533	Hs_igen	0	0	66
ENSP00000339328	Hs_ps13-17	2	152	335
ENSP00000332407	Hs_ps1-2	7	272	393
Hs_rnd_gnm10_1057553	Hs_rand	0	0	120
None_protein174812	Hs_igen	0	0	79
Hs_rnd_gnm10_415180	Hs_rand	0	0	47
Hs_rnd_gnm2_1249531	Hs_rand	0	0	215
None_protein1115727	Hs_igen	0	0	42
None_protein1115722	Hs_igen	0	0	94
None_protein807701	Hs_igen	0	0	53
ENSP00000440671	Hs_ps1-2	1	186	1230
Baz_Hs_128	Hs_ps31	0	0	58
None_protein647735	Hs_igen	0	0	191
Hs_rnd_gnm5_794845	Hs_rand	0	0	42
Hs_rnd_gnm8_1222770	Hs_rand	0	0	58
vdp2013_S4_442	Hs_ps31	0	0	80
ENSP00000249910	Hs_ps1-2	1	70	580
None_protein123535	Hs_igen	0	0	82
None_protein342364	Hs_igen	0	0	59
Raj_Hs_3172	Hs_ps31	0	0	47
Raj_Hs_3170	Hs_ps31	0	0	50
Raj_Hs_3177	Hs_ps31	0	0	85
Raj_Hs_3174	Hs_ps20-21	0	0	63
None_protein428543	Hs_igen	0	0	54
ENSP00000243662	Hs_ps1-2	4	171	211
ENSP00000490707	Hs_ps13-17	0	0	78
None_protein948031	Hs_igen	0	0	136
ENSP00000265276	Hs_ps1-2	1	139	828
None_protein501569	Hs_igen	0	0	41
Hs_rnd_gnm6_458131	Hs_rand	0	0	141
None_protein859525	Hs_igen	0	0	68
ENSP00000323978	Hs_ps1-2	0	0	446
Hs_rnd_gnm9_573248	Hs_rand	0	0	87
None_protein254502	Hs_igen	0	0	76
ENSP00000368570	Hs_ps13-17	0	0	241
None_protein255625	Hs_igen	0	0	54
Hs_rnd_gnm8_982342	Hs_rand	0	0	62
None_protein425677	Hs_igen	0	0	61
Hs_rnd_gnm7_746238	Hs_rand	0	0	127
Hs_rnd_gnm8_1307720	Hs_rand	0	0	146
ENSP00000426296	Hs_ps13-17	0	0	68
Hs_rnd_gnm6_1227424	Hs_rand	0	0	66
Hs_rnd_gnm6_141386	Hs_rand	0	0	49
ENSP00000311492	Hs_ps1-2	1	56	245
None_protein1139108	Hs_igen	0	0	50
Hs_rnd_gnm7_1134125	Hs_rand	0	0	100
ENSP00000198767	Hs_ps1-2	1	530	651
ENSP00000348472	Hs_ps1-2	3	271	578
None_protein1172802	Hs_igen	0	0	120
Hs_rnd_gnm2_35113	Hs_rand	0	0	80
ENSP00000341828	Hs_ps1-2	2	387	476
None_protein778136	Hs_igen	0	0	84
ENSP00000386193	Hs_ps20-21	0	0	290
Hs_rnd_gnm6_704764	Hs_rand	0	0	46
None_protein735129	Hs_igen	0	0	46
ENSP00000264497	Hs_ps13-17	1	134	162
None_protein649006	Hs_igen	0	0	48
Hs_rnd_gnm4_1020260	Hs_rand	0	0	77
ENSP00000380935	Hs_ps20-21	0	0	226
ENSP00000260385	Hs_ps1-2	0	0	470
Hs_rnd_gnm7_607812	Hs_rand	0	0	60
None_protein58313	Hs_igen	0	0	56
Hs_rnd_gnm3_912649	Hs_rand	0	0	42
ENSP00000455099	Hs_ps20-21	0	0	163
ENSP00000320485	Hs_ps1-2	2	338	2285
Hs_rnd_gnm6_682168	Hs_rand	0	0	46
None_protein873817	Hs_igen	0	0	41
ENSP00000334246	Hs_ps1-2	1	450	505
ENSP00000345344	Hs_ps1-2	2	276	333
ENSP00000362205	Hs_ps13-17	1	104	230
None_protein38263	Hs_igen	0	0	40
None_protein1095550	Hs_igen	0	0	247
ENSP00000363001	Hs_ps1-2	1	258	455
ENSP00000320885	Hs_ps1-2	3	166	616
None_protein1216783	Hs_igen	0	0	49
None_protein671841	Hs_igen	0	0	48
None_protein911880	Hs_igen	0	0	67
Raj_Hs_1531	Hs_ps31	0	0	70
Raj_Hs_635	Hs_ps31	0	0	74
Raj_Hs_630	Hs_ps31	0	0	57
Raj_Hs_632	Hs_ps31	0	0	42
vdp2013_S4_278	Hs_ps13-17	0	0	82
vdp2013_S4_279	Hs_ps31	0	0	44
ENSP00000299518	Hs_ps1-2	1	325	366
ENSP00000315136	Hs_ps1-2	3	280	575
vdp2013_S4_276	Hs_ps31	0	0	52
ENSP00000315644	Hs_ps1-2	1	281	313
ENSP00000340445	Hs_ps1-2	0	0	398
None_protein984734	Hs_igen	0	0	253
ENSP00000409879	Hs_ps13-17	1	86	185
ENSP00000291759	Hs_ps13-17	4	262	499
Hs_rnd_gnm10_1125522	Hs_rand	0	0	237
Raj_Hs_2842	Hs_ps31	0	0	54
Hs_rnd_gnm5_727621	Hs_rand	0	0	41
ENSP00000347872	Hs_ps1-2	3	244	393
vdp2013_S4_12	Hs_ps31	0	0	66
vdp2013_S4_11	Hs_ps31	0	0	129
vdp2013_S4_10	Hs_ps31	0	0	40
vdp2013_S4_17	Hs_ps31	0	0	77
vdp2013_S4_14	Hs_ps31	0	0	78
ENSP00000359505	Hs_ps1-2	1	43	108
ENSP00000328030	Hs_ps20-21	1	96	111
vdp2013_S4_19	Hs_ps31	0	0	72
vdp2013_S4_18	Hs_ps31	0	0	65
ENSP00000436868	Hs_ps1-2	1	68	300
Hs_rnd_gnm1_957500	Hs_rand	0	0	49
ENSP00000424040	Hs_ps13-17	1	296	299
ENSP00000261819	Hs_ps1-2	2	131	755
ENSP00000261811	Hs_ps31	1	60	97
ENSP00000369341	Hs_ps1-2	2	113	210
Hs_rnd_gnm1_7078	Hs_rand	0	0	50
None_protein202345	Hs_igen	0	0	77
vdp2013_S4_899	Hs_ps31	0	0	64
vdp2013_S4_896	Hs_ps31	0	0	90
vdp2013_S4_897	Hs_ps31	0	0	66
vdp2013_S4_895	Hs_ps31	0	0	105
vdp2013_S4_892	Hs_ps31	0	0	51
vdp2013_S4_893	Hs_ps31	0	0	55
vdp2013_S4_890	Hs_ps31	0	0	74
vdp2013_S4_891	Hs_ps31	0	0	40
None_protein655697	Hs_igen	0	0	66
None_protein989631	Hs_igen	0	0	42
None_protein87060	Hs_igen	0	0	58
Hs_rnd_gnm8_435350	Hs_rand	0	0	58
Hs_rnd_gnm5_959266	Hs_rand	0	0	79
None_protein704195	Hs_igen	0	0	121
hsa_00154236_1	Hs_ps31	0	0	54
ENSP00000306320	Hs_ps13-17	1	95	100
None_protein183802	Hs_igen	0	0	124
ENSP00000348996	Hs_ps13-17	1	270	275
ENSP00000371434	Hs_ps1-2	2	187	749
Hs_rnd_gnm7_1094106	Hs_rand	0	0	44
None_protein1001177	Hs_igen	0	0	136
ENSP00000385415	Hs_ps13-17	1	109	116
ENSP00000357922	Hs_ps13-17	1	312	341
None_protein809577	Hs_igen	0	0	74
ENSP00000354412	Hs_ps1-2	1	64	617
Raj_Hs_1138	Hs_ps31	0	0	43
Raj_Hs_2037	Hs_ps31	0	0	93
Hs_rnd_gnm6_1107344	Hs_rand	0	0	58
ENSP00000489869	Hs_ps1-2	1	335	788
ENSP00000398502	Hs_ps1-2	2	245	330
None_protein1217705	Hs_igen	0	0	47
Hs_rnd_gnm8_986206	Hs_rand	0	0	61
Hs_rnd_gnm7_1191268	Hs_rand	0	0	241
None_protein511439	Hs_igen	0	0	40
ENSP00000397673	Hs_ps1-2	6	341	667
None_protein817638	Hs_igen	0	0	89
Hs_JP201901_339	Hs_ps31	0	0	50
Hs_JP201901_338	Hs_ps31	0	0	123
None_protein1212570	Hs_igen	0	0	113
ENSP00000264649	Hs_ps1-2	1	801	838
Raj_Hs_1215	Hs_ps31	0	0	67
ENSP00000361337	Hs_ps13-17	1	73	97
Hs_JP201901_336	Hs_ps20-21	0	0	117
Hs_JP201901_331	Hs_ps31	0	0	40
None_protein1171645	Hs_igen	0	0	56
Hs_rnd_gnm6_791822	Hs_rand	0	0	98
Hs_rnd_gnm6_1093797	Hs_rand	0	0	90
ENSP00000447213	Hs_ps1-2	1	61	155
ENSP00000419377	Hs_ps1-2	18	347	864
ENSP00000232607	Hs_ps1-2	2	332	480
ENSP00000232603	Hs_ps1-2	2	166	984
None_protein964863	Hs_igen	0	0	66
Hs_rnd_gnm8_1275392	Hs_rand	0	0	81
None_protein859990	Hs_igen	0	0	44
ENSP00000295121	Hs_ps1-2	2	71	357
ENSP00000364860	Hs_ps1-2	8	553	943
ENSP00000370546	Hs_ps1-2	2	519	593
ENSP00000274766	Hs_ps20-21	1	83	84
ENSP00000383719	Hs_ps1-2	1	85	275
None_protein866074	Hs_igen	0	0	79
None_protein1192473	Hs_igen	0	0	41
ENSP00000307275	Hs_ps1-2	1	175	347
Hs_rnd_gnm10_521398	Hs_rand	0	0	43
Hs_rnd_gnm7_960427	Hs_rand	0	0	76
Raj_Hs_1322	Hs_ps31	0	0	40
None_protein67338	Hs_igen	0	0	82
Raj_Hs_1985	Hs_ps31	0	0	82
Raj_Hs_1987	Hs_ps31	0	0	48
ENSP00000375921	Hs_ps1-2	3	225	505
ENSP00000248879	Hs_ps1-2	1	189	220
ENSP00000478061	Hs_ps13-17	1	327	332
ENSP00000431997	Hs_ps20-21	1	65	120
ENSP00000351530	Hs_ps1-2	8	118	799
vdp2013_S4_366	Hs_ps31	0	0	48
Hs_rnd_gnm2_1286227	Hs_rand	0	0	42
Hs_rnd_gnm10_1036000	Hs_rand	0	0	139
Raj_Hs_2183	Hs_ps31	0	0	76
ENSP00000490147	Hs_ps1-2	2	64	100
ENSP00000416647	Hs_ps1-2	2	118	206
ENSP00000490143	Hs_ps20-21	0	0	84
ENSP00000356155	Hs_ps1-2	6	843	1634
ENSP00000315791	Hs_ps1-2	1	274	717
vdp2013_S4_362	Hs_ps31	0	0	57
ENSP00000359337	Hs_ps1-2	2	291	492
ENSP00000487130	Hs_ps20-21	0	0	100
Hs_rnd_gnm2_1052102	Hs_rand	0	0	99
Hs_rnd_gnm10_1166593	Hs_rand	0	0	180
Raj_Hs_2989	Hs_ps31	0	0	45
ENSP00000308944	Hs_ps1-2	7	733	1009
ENSP00000360522	Hs_ps1-2	2	139	201
ENSP00000411439	Hs_ps20-21	0	0	98
Hs_rnd_gnm1_1207291	Hs_rand	0	0	51
ENSP00000362018	Hs_ps1-2	1	512	756
Hs_rnd_gnm5_1194773	Hs_rand	0	0	40
ENSP00000362540	Hs_ps1-2	2	361	480
ENSP00000362010	Hs_ps1-2	4	258	488
ENSP00000367064	Hs_ps1-2	38	3171	3623
ENSP00000471126	Hs_ps20-21	0	0	118
ENSP00000482504	Hs_ps1-2	2	254	410
Hs_rnd_gnm10_890840	Hs_rand	0	0	55
Hs_rnd_gnm4_204560	Hs_rand	0	0	117
Hs_rnd_gnm2_888791	Hs_rand	0	0	52
ENSP00000386870	Hs_ps1-2	2	115	349
Hs_rnd_gnm9_1253122	Hs_rand	0	0	61
None_protein417437	Hs_igen	0	0	50
Hs_rnd_gnm8_632095	Hs_rand	0	0	66
ENSP00000350661	Hs_ps20-21	0	0	169
None_protein222231	Hs_igen	0	0	121
None_protein342287	Hs_igen	0	0	215
Hs_rnd_gnm2_652086	Hs_rand	0	0	50
None_protein571157	Hs_igen	0	0	84
ENSP00000475957	Hs_ps20-21	0	0	164
None_protein430643	Hs_igen	0	0	47
None_protein554377	Hs_igen	0	0	92
ENSP00000310861	Hs_ps1-2	2	466	639
ENSP00000479258	Hs_ps20-21	0	0	215
None_protein487045	Hs_igen	0	0	40
Hs_rnd_gnm9_667035	Hs_rand	0	0	108
Hs_rnd_gnm10_945586	Hs_rand	0	0	65
vdp2013_S4_1247	Hs_ps31	0	0	41
ENSP00000350005	Hs_ps13-17	1	27	153
ENSP00000363089	Hs_ps1-2	14	435	839
vdp2013_S4_1244	Hs_ps31	0	0	55
Hs_rnd_gnm10_607096	Hs_rand	0	0	0
Hs_rnd_gnm3_571691	Hs_rand	0	0	48
ENSP00000352527	Hs_ps1-2	2	140	499
ENSP00000283243	Hs_ps1-2	9	888	1463
Hs_rnd_gnm4_1226734	Hs_rand	0	0	129
None_protein618879	Hs_igen	0	0	72
None_protein1196123	Hs_igen	0	0	48
ENSP00000283249	Hs_ps1-2	6	474	788
ENSP00000353295	Hs_ps1-2	2	288	395
ENSP00000371715	Hs_ps13-17	1	98	208
None_protein483035	Hs_igen	0	0	49
None_protein940159	Hs_igen	0	0	74
ENSP00000401232	Hs_ps1-2	1	121	365
ENSP00000347409	Hs_ps1-2	2	572	732
ENSP00000333779	Hs_ps13-17	0	0	448
Hs_rnd_gnm10_174500	Hs_rand	0	0	88
ENSP00000377385	Hs_ps1-2	2	486	794
Raj_Hs_172	Hs_ps13-17	1	30	66
Raj_Hs_173	Hs_ps31	0	0	74
Raj_Hs_170	Hs_ps31	0	0	68
ENSP00000404991	Hs_ps1-2	1	321	339
ENSP00000364089	Hs_ps20-21	1	106	113
None_protein482618	Hs_igen	0	0	59
None_protein723214	Hs_igen	0	0	80
ENSP00000377655	Hs_ps1-2	1	241	1050
ENSP00000437940	Hs_ps13-17	0	0	557
ENSP00000442656	Hs_ps1-2	5	424	546
ENSP00000402297	Hs_ps1-2	1	347	546
ENSP00000370391	Hs_ps13-17	0	0	332
Hs_rnd_gnm1_1004814	Hs_rand	0	0	56
Hs_rnd_gnm1_141964	Hs_rand	0	0	57
Baz_Hs_103	Hs_ps31	0	0	84
None_protein902934	Hs_igen	0	0	65
ENSP00000401018	Hs_ps1-2	1	106	255
ENSP00000343366	Hs_ps13-17	3	89	236
ENSP00000371388	Hs_ps1-2	1	86	137
Hs_rnd_gnm5_484968	Hs_rand	0	0	41
Hs_rnd_gnm10_183375	Hs_rand	0	0	89
None_protein1220662	Hs_igen	0	0	90
ENSP00000289672	Hs_ps1-2	4	989	2849
vdp2013_S4_1248	Hs_ps31	0	0	41
ENSP00000352522	Hs_ps1-2	2	438	483
vdp2013_S4_1246	Hs_ps31	0	0	62
None_protein682524	Hs_igen	0	0	114
vdp2013_S4_1243	Hs_ps31	0	0	56
vdp2013_S4_1242	Hs_ps31	0	0	63
vdp2013_S4_1240	Hs_ps31	0	0	51
ENSP00000484621	Hs_ps13-17	0	0	352
None_protein1207883	Hs_igen	0	0	97
None_protein1077539	Hs_igen	0	0	71
None_protein786135	Hs_igen	0	0	47
ENSP00000211413	Hs_ps1-2	1	66	306
ENSP00000418767	Hs_ps13-17	0	0	321
ENSP00000312299	Hs_ps13-17	1	181	282
ENSP00000302961	Hs_ps1-2	3	684	840
ENSP00000265708	Hs_ps1-2	4	486	735
Hs_rnd_gnm2_581758	Hs_rand	0	0	46
ENSP00000455811	Hs_ps20-21	1	79	138
Hs_JP201901_533	Hs_ps31	0	0	64
ENSP00000264382	Hs_ps1-2	6	1274	1827
None_protein498713	Hs_igen	0	0	59
None_protein1032489	Hs_igen	0	0	59
Hs_rnd_gnm6_1266360	Hs_rand	0	0	46
ENSP00000414109	Hs_ps13-17	4	288	748
Hs_rnd_gnm9_1080736	Hs_rand	0	0	107
ENSP00000263702	Hs_ps1-2	2	191	373
ENSP00000263707	Hs_ps1-2	1	203	479
Hs_JP201901_186	Hs_ps1-2	0	0	119
ENSP00000332887	Hs_ps1-2	1	51	63
ENSP00000410758	Hs_ps1-2	1	67	91
None_protein92046	Hs_igen	0	0	60
None_protein227500	Hs_igen	0	0	55
Hs_rnd_gnm6_549558	Hs_rand	0	0	56
Hs_rnd_gnm3_5630	Hs_rand	0	0	53
Hs_rnd_gnm7_1291651	Hs_rand	0	0	169
Hs_JP201901_185	Hs_ps31	0	0	173
ENSP00000473444	Hs_ps1-2	1	133	150
ENSP00000360316	Hs_ps1-2	1	91	516
None_protein142657	Hs_igen	0	0	42
ENSP00000300917	Hs_ps1-2	1	943	991
ENSP00000368881	Hs_ps1-2	1	125	393
ENSP00000311121	Hs_ps1-2	2	213	256
ENSP00000367851	Hs_ps1-2	4	410	570
Hs_rnd_gnm3_905261	Hs_rand	0	0	0
None_protein542705	Hs_igen	0	0	44
ENSP00000288986	Hs_ps1-2	10	225	377
None_protein117356	Hs_igen	0	0	49
None_protein448726	Hs_igen	0	0	41
ENSP00000252244	Hs_ps1-2	3	619	644
ENSP00000348451	Hs_ps1-2	1	243	339
ENSP00000386607	Hs_ps13-17	0	0	200
Raj_Hs_2647	Hs_ps31	0	0	89
Raj_Hs_2645	Hs_ps31	0	0	61
Hs_rnd_gnm7_54182	Hs_rand	0	0	42
None_protein634740	Hs_igen	0	0	52
Hs_rnd_gnm3_167866	Hs_rand	0	0	42
ENSP00000358807	Hs_ps1-2	1	56	343
None_protein710921	Hs_igen	0	0	91
None_protein30393	Hs_igen	0	0	54
ENSP00000297632	Hs_ps1-2	1	107	240
None_protein122040	Hs_igen	0	0	58
Hs_rnd_gnm2_551553	Hs_rand	0	0	56
Hs_rnd_gnm8_1044210	Hs_rand	0	0	63
Hs_rnd_gnm3_614957	Hs_rand	0	0	97
ENSP00000466111	Hs_ps1-2	5	331	504
Hs_rnd_gnm9_798137	Hs_rand	0	0	51
None_protein119816	Hs_igen	0	0	66
ENSP00000319279	Hs_ps1-2	7	355	824
Hs_rnd_gnm2_454723	Hs_rand	0	0	40
Hs_rnd_gnm8_606861	Hs_rand	0	0	77
None_protein713390	Hs_igen	0	0	64
None_protein1180328	Hs_igen	0	0	107
Hs_rnd_gnm6_905036	Hs_rand	0	0	56
ENSP00000386466	Hs_ps1-2	1	220	276
ENSP00000433712	Hs_ps20-21	1	132	151
Hs_rnd_gnm4_1124227	Hs_rand	0	0	175
None_protein737166	Hs_igen	0	0	42
None_protein67052	Hs_igen	0	0	96
ENSP00000377015	Hs_ps1-2	2	263	652
ENSP00000333212	Hs_ps1-2	1	436	544
ENSP00000362222	Hs_ps1-2	2	247	440
Hs_rnd_gnm5_604863	Hs_rand	0	0	47
ENSP00000406472	Hs_ps1-2	2	282	429
ENSP00000221233	Hs_ps1-2	2	183	235
None_protein516779	Hs_igen	0	0	42
Hs_rnd_gnm10_1050759	Hs_rand	0	0	58
Hs_rnd_gnm10_1264061	Hs_rand	0	0	79
vdp2013_S4_949	Hs_ps31	0	0	45
Raj_Hs_1048	Hs_ps20-21	0	0	79
Hs_rnd_gnm7_281139	Hs_rand	0	0	46
Hs_rnd_gnm1_1150677	Hs_rand	0	0	66
Hs_rnd_gnm5_1110689	Hs_rand	0	0	127
Raj_Hs_1515	Hs_ps31	0	0	55
Raj_Hs_340	Hs_ps31	0	0	46
ENSP00000361592	Hs_ps1-2	3	251	475
None_protein821672	Hs_igen	0	0	90
Raj_Hs_344	Hs_ps31	0	0	52
ENSP00000361597	Hs_ps13-17	1	226	227
None_protein568145	Hs_igen	0	0	45
Hs_rnd_gnm5_586945	Hs_rand	0	0	47
None_protein1258356	Hs_igen	0	0	55
vdp2013_S4_254	Hs_ps31	0	0	46
vdp2013_S4_255	Hs_ps31	0	0	68
vdp2013_S4_256	Hs_ps31	0	0	41
vdp2013_S4_525	Hs_ps31	0	0	47
vdp2013_S4_522	Hs_ps31	0	0	40
vdp2013_S4_252	Hs_ps31	0	0	55
None_protein185722	Hs_igen	0	0	67
ENSP00000321519	Hs_ps20-21	0	0	215
vdp2013_S4_259	Hs_ps31	0	0	108
vdp2013_S4_528	Hs_ps31	0	0	42
vdp2013_S4_529	Hs_ps31	0	0	47
ENSP00000240619	Hs_ps13-17	1	295	307
ENSP00000240615	Hs_ps13-17	1	303	309
ENSP00000302422	Hs_ps1-2	3	279	314
vdp2013_S4_78	Hs_ps31	0	0	103
ENSP00000379625	Hs_ps1-2	3	180	309
vdp2013_S4_71	Hs_ps31	0	0	59
vdp2013_S4_70	Hs_ps31	0	0	48
vdp2013_S4_73	Hs_ps31	0	0	82
None_protein718800	Hs_igen	0	0	187
vdp2013_S4_74	Hs_ps31	0	0	61
vdp2013_S4_77	Hs_ps31	0	0	72
None_protein745301	Hs_igen	0	0	63
Hs_rnd_gnm7_787979	Hs_rand	0	0	98
ENSP00000228284	Hs_ps1-2	4	214	963
None_protein896845	Hs_igen	0	0	73
ENSP00000332162	Hs_ps20-21	1	135	169
ENSP00000485141	Hs_ps20-21	1	29	70
Hs_rnd_gnm9_1152477	Hs_rand	0	0	50
Hs_rnd_gnm6_290077	Hs_rand	0	0	59
ENSP00000366157	Hs_ps1-2	2	262	440
ENSP00000261839	Hs_ps1-2	6	848	1742
vdp2013_S4_1035	Hs_ps31	0	0	54
vdp2013_S4_1036	Hs_ps31	0	0	55
vdp2013_S4_1030	Hs_ps31	0	0	49
vdp2013_S4_1031	Hs_ps31	0	0	83
vdp2013_S4_1032	Hs_ps31	0	0	90
vdp2013_S4_1033	Hs_ps31	0	0	55
ENSP00000391042	Hs_ps1-2	2	419	831
vdp2013_S4_1038	Hs_ps31	0	0	40
vdp2013_S4_91	Hs_ps31	0	0	162
None_protein350292	Hs_igen	0	0	50
ENSP00000438071	Hs_ps1-2	3	103	393
None_protein28416	Hs_igen	0	0	59
ENSP00000412623	Hs_ps1-2	1	74	123
ENSP00000363683	Hs_ps20-21	0	0	140
Hs_rnd_gnm9_123515	Hs_rand	0	0	52
Hs_rnd_gnm3_1088468	Hs_rand	0	0	81
Hs_rnd_gnm9_858105	Hs_rand	0	0	91
None_protein213054	Hs_igen	0	0	53
None_protein233757	Hs_igen	0	0	96
ENSP00000382971	Hs_ps1-2	1	96	119
Hs_rnd_gnm4_737384	Hs_rand	0	0	106
ENSP00000296202	Hs_ps1-2	1	198	252
ENSP00000463981	Hs_ps13-17	1	152	171
ENSP00000360315	Hs_ps13-17	1	188	210
ENSP00000254325	Hs_ps1-2	2	232	979
ENSP00000356233	Hs_ps1-2	8	748	1580
ENSP00000295896	Hs_ps13-17	0	0	292
Hs_rnd_gnm4_945610	Hs_rand	0	0	65
ENSP00000295898	Hs_ps13-17	1	116	117
None_protein583321	Hs_igen	0	0	64
ENSP00000356899	Hs_ps1-2	3	420	855
Hs_rnd_gnm9_45398	Hs_rand	0	0	55
Hs_rnd_gnm9_1046846	Hs_rand	0	0	50
None_protein605967	Hs_igen	0	0	49
None_protein483852	Hs_igen	0	0	42
Hs_rnd_gnm5_111712	Hs_rand	0	0	90
None_protein775898	Hs_igen	0	0	74
None_protein374731	Hs_igen	0	0	51
None_protein456657	Hs_igen	0	0	55
Hs_rnd_gnm7_1102244	Hs_rand	0	0	64
ENSP00000489803	Hs_ps20-21	0	0	161
ENSP00000258383	Hs_ps1-2	0	0	332
None_protein919248	Hs_igen	0	0	78
ENSP00000472277	Hs_ps13-17	1	40	179
ENSP00000356093	Hs_ps13-17	1	165	172
Hs_rnd_gnm3_864125	Hs_rand	0	0	47
ENSP00000324369	Hs_ps1-2	3	271	323
None_protein565403	Hs_igen	0	0	127
Hs_rnd_gnm1_646681	Hs_rand	0	0	56
None_protein1140632	Hs_igen	0	0	0
Hs_rnd_gnm6_248944	Hs_rand	0	0	44
ENSP00000335306	Hs_ps13-17	3	133	304
None_protein404484	Hs_igen	0	0	62
ENSP00000278829	Hs_ps1-2	2	329	445
ENSP00000003100	Hs_ps1-2	1	427	509
None_protein1182209	Hs_igen	0	0	59
None_protein1182208	Hs_igen	0	0	50
Hs_rnd_gnm2_1297599	Hs_rand	0	0	109
ENSP00000378285	Hs_ps1-2	1	23	93
None_protein613227	Hs_igen	0	0	43
Hs_rnd_gnm3_32979	Hs_rand	0	0	69
ENSP00000307078	Hs_ps1-2	2	319	963
Raj_Hs_2350	Hs_ps31	0	0	45
ENSP00000464231	Hs_ps1-2	3	268	300
None_protein1094752	Hs_igen	0	0	95
ENSP00000379888	Hs_ps1-2	1	189	208
None_protein420298	Hs_igen	0	0	106
ENSP00000345023	Hs_ps1-2	4	136	243
vdp2013_S4_822	Hs_ps31	0	0	141
ENSP00000289451	Hs_ps1-2	2	274	313
ENSP00000345752	Hs_ps1-2	2	446	643
ENSP00000331532	Hs_ps20-21	1	245	384
None_protein968127	Hs_igen	0	0	93
None_protein97040	Hs_igen	0	0	42
Hs_rnd_gnm10_202435	Hs_rand	0	0	50
None_protein189400	Hs_igen	0	0	43
None_protein833201	Hs_igen	0	0	51
None_protein1157900	Hs_igen	0	0	42
None_protein1244030	Hs_igen	0	0	50
None_protein362511	Hs_igen	0	0	43
Hs_rnd_gnm8_1144576	Hs_rand	0	0	40
Raj_Hs_2438	Hs_ps31	0	0	88
ENSP00000473056	Hs_ps31	0	0	46
ENSP00000490782	Hs_ps31	0	0	56
None_protein297598	Hs_igen	0	0	49
Hs_rnd_gnm3_576854	Hs_rand	0	0	47
Raj_Hs_1334	Hs_ps31	0	0	133
Raj_Hs_1991	Hs_ps31	0	0	58
ENSP00000217026	Hs_ps1-2	7	305	700
ENSP00000354159	Hs_ps1-2	2	234	1024
None_protein917178	Hs_igen	0	0	57
ENSP00000462116	Hs_ps1-2	1	93	308
ENSP00000167586	Hs_ps1-2	1	310	472
None_protein1129175	Hs_igen	0	0	41
None_protein492177	Hs_igen	0	0	61
ENSP00000318131	Hs_ps13-17	1	358	439
ENSP00000219313	Hs_ps1-2	2	224	324
Hs_rnd_gnm1_630474	Hs_rand	0	0	55
Hs_rnd_gnm8_809880	Hs_rand	0	0	40
Hs_rnd_gnm3_361905	Hs_rand	0	0	85
None_protein1254731	Hs_igen	0	0	58
ENSP00000354623	Hs_ps1-2	3	212	907
Hs_rnd_gnm5_943158	Hs_rand	0	0	121
None_protein91052	Hs_igen	0	0	93
None_protein91053	Hs_igen	0	0	49
Hs_rnd_gnm1_461141	Hs_rand	0	0	51
None_protein468127	Hs_igen	0	0	50
Hs_rnd_gnm7_803918	Hs_rand	0	0	51
ENSP00000362566	Hs_ps1-2	10	127	193
None_protein1112939	Hs_igen	1	49	59
ENSP00000310088	Hs_ps20-21	1	96	102
Hs_rnd_gnm3_50517	Hs_rand	0	0	72
None_protein361223	Hs_igen	0	0	59
ENSP00000482523	Hs_ps13-17	1	136	152
ENSP00000366271	Hs_ps1-2	6	346	1336
Baz_Hs_1	Hs_ps31	0	0	52
Hs_rnd_gnm5_812703	Hs_rand	0	0	71
Baz_Hs_3	Hs_ps31	0	0	64
Hs_rnd_gnm3_948194	Hs_rand	0	0	74
ENSP00000386810	Hs_ps1-2	4	346	1758
Hs_rnd_gnm4_1009382	Hs_rand	0	0	85
Hs_rnd_gnm5_268091	Hs_rand	0	0	58
Hs_rnd_gnm3_339599	Hs_rand	0	0	48
None_protein725813	Hs_igen	0	0	53
Hs_rnd_gnm10_1208315	Hs_rand	0	0	47
ENSP00000327557	Hs_ps1-2	3	355	438
None_protein766809	Hs_igen	0	0	50
Hs_rnd_gnm8_1116195	Hs_rand	0	0	125
vdp2013_S4_759	Hs_ps31	0	0	103
Hs_rnd_gnm2_762650	Hs_rand	0	0	66
ENSP00000356746	Hs_ps1-2	2	192	742
